,edo,muni,loca,dia1,mes1,hr_ini1,min_ini1,hr_ter1,min_ter1,dura1,res1,p1,p2,p3,p4a,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_7,p5_8,p5_9,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_7,p7,p8,p9_1,p10,p11,p12,p13,p14_1,p14_2,p14_3,p14_4,p14_5,p14_6,p14_7,p14_8,p14_9,p14_10,p15,p16,p17,p18,p19_1,p20,p21,p22_1,p22_2,p22_3,p22_4,p23,p25,p26,p27,p28_1,p28_2,p29,p30_1,p31,p32,p33,p34,p35_1,p35_2,p35_3,p35_4,p35_5,p35_6,p35_7,p35_8,p35_9,p35_10,p35_11,p35_12,p35_13,p35_14,p36_1,p36_2,p36_3,p36_4,p36_5,p36_6,p36_7,p37_1,p37_2,p37_3,p37_4,p37_5,p37_6,p37_7,p37_8,p37_9,p37_10,p37_11,p37_12,p38,p39,p40,p41_1,p41_2,p41_3,p41_4,p41_5,p41_6,p41_7,p41_8,p41_9,p41_10,p41_11,p42,p43,p44,p45_1,p45_2,p45_3,p45_4,p45_5,p45_6,p45_7,p45_8,p45_9,p45_10,p46_1,p46_2,p46_3,p46_4,p46_5,p46_6,p46_7,p46_8,p46_9,p46_10,p46_11,p46_12,p46_13,p46_14,p47,p48_1,p48_2,p48_3,p48_4,p48_5,p48_6,p48_7,p48_8,p48_9,p48_10,p48_11,p48_12,p48_13,p134,p135,p136_1,p136_2,p137,p138,p139,p140_1,p141_1,p141_2,p141_3,p141_4,p141_5,p141_6,p141_7,p141_8,p141_9,p141_10,p142,p143,p144,p145_1,p145_2,p145_3,p145_4,p145_5,p145_6,p145_7,p145_8,p145_9,p145_10,p145_11,p145_12,p145_13,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,sexo,edad1,escol,est,reg,pondeviv1,pondeviv2
4614,29,33,10,30,8,18,53,20,7,74,1,2,1,1,9,9,9,9,9,9,9,10,9,9,4,4,4,4,4,4,4,1,2,5,1,9,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,3,1,2,2,2,3,1,1,19.0,1,2,3,1,5,1,1.0,21.0,1,1,1,3,1,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,1,3,4,1,1,4,1,1,4,4,4,4,4,9,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,2,2,2,2,2,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,4,4,4,3,1,4,4,4,4,4,4,4,2,4,2,2,2,1,3,4,7,9,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,5,1,3,1,1,2,26,10,2,1,8529,5815
4615,29,33,10,31,8,7,55,9,13,78,1,2,1,1,4,10,7,7,7,7,8,8,7,9,4,4,4,4,4,4,3,1,2,1,3,1,2,3,4,3,3,3,4,3,4,4,4,4,1,2,1,1,1,4,1,2,2,2,2,1,1,17.0,1,2,3,1,5,1,1.0,20.0,3,3,3,3,3,3,2,2,2,1,2,3,3,3,3,1,3,2,3,2,1,3,4,1,4,4,4,4,4,9,9,9,9,5,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,3,3,2,2,3,2,2,1,1,2,2,1,1,1,1,1,1,1,3,3,3,4,4,4,4,1,4,4,4,4,4,4,3,2,4,2,2,2,1,3,4,7,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,5,3,3,1,1,2,29,5,2,1,8529,5815
4616,29,33,10,31,8,9,47,10,59,72,1,1,1,1,4,9,9,9,9,8,8,9,8,9,4,4,4,4,4,4,4,1,3,1,1,1,2,1,1,1,1,1,3,1,3,3,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,22.412523719165087,1,2,3,1,5,2,2.0617577197149646,20.24228028503563,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,2,1,3,4,4,4,4,4,1,4,4,4,4,4,9,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,2,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,2,4,2,2,2,1,2,4,7,8,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,1,1,2,14,4,2,1,8529,5815
4617,29,33,10,31,8,11,26,12,43,77,1,1,1,1,6,10,9,9,9,9,8,10,8,10,2,4,4,4,4,4,4,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,3,1,1,1,1,2,1,2,22.412523719165087,1,2,3,1,5,2,2.0617577197149646,20.24228028503563,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,2,3,3,4,1,4,4,4,4,4,9,9,9,9,5,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,4,4,4,4,1,4,4,4,4,4,4,4,2,4,2,2,2,1,2,4,7,7,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,5,1,3,1,1,1,17,6,2,1,8529,5815
4618,29,33,10,31,8,13,20,14,34,74,1,1,1,1,9,10,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,2,2,3,2,2,1,1,2,1,2,1,3,1,1,1,1,3,1,2,22.412523719165087,1,2,3,1,5,2,2.0617577197149646,20.24228028503563,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,1,3,4,1,1,4,4,1,4,4,4,4,4,9,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,3,3,3,4,4,4,4,1,4,4,4,4,4,4,4,4,4,2,2,2,1,2,4,7,8,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,1,1,1,22,9,2,1,8529,5815
4619,29,33,10,31,8,15,14,16,27,73,1,2,1,1,4,7,8,8,8,8,8,9,8,9,4,4,4,4,4,4,4,1,2,1,3,1,2,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,1,4,1,2,2,2,2,1,1,17.0,1,2,3,1,5,2,2.0617577197149646,20.24228028503563,1,3,3,3,3,2,3,2,1,1,2,3,1,1,1,2,3,1,3,2,2,3,4,4,4,4,1,1,4,4,4,1,4,9,4,1,2,1,1,3,3,2,1,1,1,1,1,1,1,2,1,2,3,2,2,3,2,2,2,2,2,1,1,3,3,1,1,1,1,1,1,2,3,3,3,4,4,4,4,1,4,4,4,4,4,4,3,4,4,1,2,2,1,2,8,7,8,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,5,3,3,1,1,1,25,5,2,1,8529,5815
4620,29,33,10,30,8,11,49,13,4,75,1,1,1,1,6,9,8,8,9,9,5,10,8,8,3,4,2,3,4,4,2,8,2,1,1,8,2,2,2,2,2,2,4,2,2,4,4,2,1,2,1,2,1,3,1,2,1,1,2,1,2,22.412523719165087,1,2,3,1,5,2,2.0617577197149646,20.24228028503563,7,3,6,1,3,2,2,3,2,1,3,3,3,6,6,2,3,3,3,2,1,2,4,1,1,4,1,1,4,1,1,1,1,9,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,3,4,4,2,4,4,4,1,1,4,4,4,4,4,4,4,1,4,2,2,2,1,2,4,7,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,3,3,1,1,2,15,6,2,1,8529,5815
4621,29,33,10,30,8,13,46,15,0,74,1,2,1,1,5,8,8,9,10,8,7,9,9,9,3,4,3,4,4,3,3,1,2,4,1,4,2,3,4,4,2,3,4,2,2,4,4,4,1,1,1,2,1,3,1,3,3,3,3,1,1,18.0,1,2,3,1,5,1,2.0,21.0,1,2,6,3,3,2,2,2,2,2,2,6,2,3,3,2,3,1,3,2,2,3,4,1,1,4,4,1,4,4,4,4,4,9,4,2,3,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,3,1,1,3,4,1,1,1,1,1,1,1,4,4,3,4,4,4,4,1,4,4,4,4,4,4,4,1,4,2,2,2,1,3,4,7,10,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,1,1,2,28,8,2,1,8529,5815
4622,29,33,10,30,8,15,32,16,51,79,1,2,1,1,4,6,8,8,7,7,6,8,7,9,1,4,1,1,2,2,1,1,2,4,1,6,2,2,2,2,2,3,4,1,2,2,2,4,1,2,1,4,1,3,1,3,3,3,3,1,2,22.412523719165087,1,2,3,1,5,2,2.0617577197149646,20.24228028503563,7,1,6,1,3,1,3,3,3,3,3,3,3,3,3,2,3,1,1,2,1,3,1,4,4,4,1,1,4,4,1,1,1,9,4,4,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,3,3,1,1,1,1,3,3,1,4,4,4,4,4,4,4,1,4,1,1,1,1,4,4,1,4,1,2,2,1,2,8,7,8,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,1,1,1,14,4,2,1,8529,5815
4623,29,33,10,30,8,17,26,18,41,75,1,2,1,1,3,10,8,9,7,5,7,9,8,7,4,4,4,4,4,4,4,1,2,8,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,2,2,1,1,3,1,1,2,3,3,1,1,20.0,1,2,3,1,5,1,1.0,22.0,3,3,3,3,3,2,1,3,3,3,3,6,3,6,6,1,3,1,2,2,1,1,1,1,1,4,4,1,4,4,2,2,2,9,4,3,3,3,1,3,2,3,1,2,2,1,1,1,1,2,1,2,3,2,1,3,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,3,2,2,4,2,2,1,1,4,4,4,4,1,4,4,1,2,2,2,2,1,3,4,7,10,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,3,1,1,2,27,3,2,1,8529,5815
