clave,descripcion
1,Ninguna
2,Preescolar
3,Primaria
4,Secundaria
5,Estudios técnicos con secundaria terminada
6,Normal básica
7,Preparatoria o bachillerato
8,Estudios técnicos con preparatoria terminada
9,Licenciatura
10,Maestría o doctorado
99,No especificada
