clave,descripcion
1,No tienen tiempo
2,Por el trabajo
3,Están muy lejos
4,No tienen dinero
5,No les gusta
6,Prefieren ver la televisión
7,No les interesa
8,Falta de cultura
9,Falta de difusión y publicidad
10,Otro
99,No especificado
