clave,descripcion
1,"Maestro, compañeros de estudio o libros de texto"
2,Conoce desde siempre este lugar
3,Amigos o familiares
4,Por la televisión
5,Folleto/Espectacular
6,Internet
7,Oficina turística
8,Por la radio
9,Periódico/Revista
10,Redes sociales
11,Otro
99,No especificado
