clave,descripcion
1,Una 
2,Dos
3,Tres
4,Cuatro
5,Cinco
6,Seis
7,Siete
8,Ocho
9,Nueve
10,Diez
11,Once
12,Doce
13,Trece
14,Catorce
15,Quince
16,Dieciséis
17,Diecisiete
18,Dieciocho
19,Diecinueve
20,Veinte
21,Veintiuno
22,Ventidos
23,Ventitrés
24,Venticuatro
25,Venticinco
26,Ventiséis
27,Ventisiete
28,Ventiocho
29,Veintinueve
30,Treinta
98,Más de treinta
99,No especificado
